hajoca_product_id,sku,description,category,manufacturer,manufacturer_cleaned,uom,hajoca_profit_center,current_price,availability,qty_avail,is_active,status,sell_qty,pkg_qty,pricing_qty,catalog_no,hist_purchases,has_image
7034463,3058396,"KOHLER K-6585-0 IRON TONES  24-1/4"" SR CI SINK WHT",General,Unknown,Kohler,EA,328,2840,in_stock,0,True,,0,0,0,,0,0
5913,2948307,2 SHORT SWEEP 1/4 BEND NH,General,Unknown,,EA,328,9892,in_stock,0,True,,0,0,0,,1,0
9988709,2598291,KOHLER K-3981-0 TRESHAM EF 1PC SKIRTED TLT W/ SEAT ADA HEIGHT WHT 1.28GPF,General,Unknown,Kohler,EA,328,914,in_stock,0,True,,0,0,0,,0,0
6663535,3278981,KOHLER K-99007-NA VERDERA  24x30 MEDICINE CABINET,General,Unknown,Kohler,EA,328,3056,in_stock,0,True,,0,0,0,,0,0
6663782,,"WILKINS 70XLDUC 3/4"" PRV VALVE (34-70XLDUC)",General,Unknown,Wilkins,EA,328,4751,in_stock,0,True,,0,0,0,,0,1
4660768,2355909,KOHLER K-14406-4-BL PURIST  WS 2HDL LAV FCT BL,General,Unknown,Kohler,EA,328,8506,in_stock,0,True,,0,0,0,,0,0
2957039,,ICERA C-5530.01 VISTA EF WALLHUNG TLT W/SEAT WHT,General,Unknown,,EA,328,5964,in_stock,0,True,,0,0,0,,0,0
9931,2925103,1-1/2 CLEAN-OUT TEST TEE ABS (ABS445) (102114S)  (5811-14-V),General,Unknown,,EA,328,7297,in_stock,0,True,,0,0,0,,0,1
4038098,2305354,KOHLER K-98804-CP-0 PUREWASH PUREWASH MANUAL EF BIDET SEAT WHT,General,Unknown,Kohler,EA,328,1649,in_stock,0,True,,0,0,0,,0,1
2343,,2x1-1/2x1-1/2 REDUCING TEE BLACK,General,Unknown,,EA,328,1111,in_stock,21,True,,0,0,0,,0,1
3849682,,SIOUX 696-G2313MF 1/2 MIP/SWEAT OxBox W/ ARRESTERS WASH,General,Unknown,Sioux Chief,EA,328,4194,in_stock,0,True,,0,0,0,,1,0
6829454,2343481,MAAX 105705-R-000-001 RUBIX RH 60x32x18 ACRYLIC TUB WHITE,General,Unknown,Maax,EA,328,8411,in_stock,0,True,,0,0,0,,0,1
3753501,1799622,FM PRO-45 FILL VALVE,General,Unknown,,EA,328,406,in_stock,0,True,,0,0,0,,7,0
1163131,,1-1/4x1 FTGxPRS RED (PC600-2),General,Unknown,,EA,328,915,in_stock,0,True,,0,0,0,,0,1
2095,,1-1/4x5 NIPPLE BLACK,General,Unknown,,EA,328,9923,in_stock,0,True,,0,0,0,,0,1
7491,,2406-EG 7/8 OD STRUT CLAMP EG (OD0087EG) EOD-0087EG,General,Unknown,,EA,328,6054,in_stock,0,True,,0,0,0,,0,0
4165358,2829832,KOHLER K-98068-4-CP ARIFACTS LEVER FAUCET *HANDLES ONLY* CP,General,Unknown,Kohler,EA,328,2707,in_stock,0,True,,0,0,0,,0,0
5449216,2761372,ELKAY LZS-8WSLK SINGLE WATER COOLER / EZH20 STATION COMBO,General,Unknown,Elkay,EA,328,2632,in_stock,0,True,,0,0,0,,0,0
4141569,3242535,KOHLER K-23527-CP TOILET TISSUE HOLDER,General,Unknown,Kohler,EA,328,764,in_stock,0,True,,0,0,0,,0,0
9639311,,"2""CIx1-1/5""PL TRANSITION COUPLING (6CP215)",General,Unknown,,EA,328,3836,in_stock,0,True,,0,0,0,,0,0
7227791,3128338,DELTA RP2393 LEVER HANDLE ASSY,General,Unknown,Delta,EA,328,2079,in_stock,0,True,,0,0,0,,0,0
7684843,2377026,KOHLER K-40TD00N10-CP MACH WAVE DC POWERED 1.28GPF CLOSET FLUSHOMETER  (REPLACES K-10673-SV),General,Unknown,Kohler,EA,328,2961,in_stock,0,True,,0,0,0,,0,0
3888687,1991969,KOHLER K-25160-2MB COMPONENTS  18IN GRAB BAR 2MB,General,Unknown,Kohler,EA,328,1023,in_stock,0,True,,0,0,0,,0,0
1950817,,AOS 100109508 CONV KIT 2000/2000 208VT OR 2500/2500 240VT,General,Unknown,,EA,328,5507,in_stock,0,True,,0,0,0,,0,0
4148193,,RHEEM SP16351A GAS CONTROL (STAT) WR,General,Unknown,Rheem,EA,328,7393,in_stock,0,True,,0,0,0,,0,0
8569627,2302027,GERBER HE-20-370 ULTRA FLUSH EF W/M B/O 1.28GPF TOILET WHT,General,Unknown,Gerber,EA,328,835,in_stock,0,True,,0,0,0,,0,0
1934174,1713800,KOHLER K-81149-DA1 MAXSTOW 30x40 FRAMLESS DOUBLE DOOR MIRRORED MEDICINE CABINET,General,Unknown,Kohler,EA,328,9307,in_stock,0,True,,0,0,0,,0,0
5805577,2643297,"KOHLER GP85555-CP DIVERTER BATH SPOUT CHROME 1/2"" IPS  (#56)",General,Unknown,Kohler,EA,328,3546,in_stock,0,True,,0,0,0,,0,0
53383,,LENOX 1787564 2-1/8 WOOD BORING BIT (33212 LL212),General,Unknown,Lenox,EA,328,6440,in_stock,0,True,,0,0,0,,0,1
